,middle,middle_pert1,middle_pert2,middle_pert3,middle_pert4
SWZ,0,0,0,0,0
SYR,0,0,0,0,0
TAN,0,0,0,0,0
TCH,12,12,12,12,12
TGA,0,0,0,0,0
THA,0,0,0,0,0
TJK,0,0,0,0,0
TKM,0,0,0,0,0
TLS,0,0,0,0,0
TOG,0,0,0,0,0
TPE,4,4,4,4,4
TTO,0,0,0,0,0
TUN,1,1,1,1,1
TUR,9,9,9,9,9
TUV,0,0,0,0,0
UAE,4,3,4,4,4
UAR,0,0,0,0,0
UGA,0,0,0,0,0
UKR,8,8,8,8,8
UNK,0,0,0,0,0
URS,94,102,94,94,95
URU,2,1,2,2,2
USA,82,90,82,82,83
UZB,7,8,7,7,7
VAN,0,0,0,0,0
VEN,0,0,0,0,0
VIE,0,0,0,0,0
VIN,0,0,0,0,0
VNM,0,0,0,0,0
WIF,0,0,0,0,0
YAR,0,0,0,0,0
YEM,0,0,0,0,0
YMD,0,0,0,0,0
YUG,10,11,10,10,11
ZAM,0,0,0,0,0
ZIM,0,0,0,0,0
